"row","profession","heading","sub-heading","level","grade","content"
51,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 6 and 7","Grade 7, Grade 6","Adequate and appropriate application of OR to the formulation, implementation and evaluation of projects: formulates and produces innovative projects; assesses and constructively challenges proposed projects; and ensures evaluation of projects and other work is undertaken."
52,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 5","Grade 5","Reviews and evaluates the effectiveness and value of OR input and use of analytical methods and tools within the Department."
53,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 5","Grade 5","Develops Departmental OR expertise, encompassing new techniques as appropriate, to meet current and future analytical requirements."
54,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 5","Grade 5","Champions and sets direction for major proposals for analytical work programmes involving OR contributions, ensuring the contribution made by OR supports the aims and objectives of the Department."
55,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 5","Grade 5","Ensures adequate and appropriate application of OR to the formulation, implementation and evaluation of policies and programmes: formulates and produces innovative options for policies and programmes; assesses and constructively challenges proposed policies and programmes; and ensures evaluation of projects and other work is planned for and undertaken."
56,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS Student – AO equivalent","AO","Identifies key messages from analytical work, able to translate these into terms for use with either technical or non-technical audiences"
57,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS Student – AO equivalent","AO","Reports own analytical work in sufficient detail, meeting customer needs, effectively presenting results in both written and oral form."
58,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS Student – AO equivalent","AO","Explains clearly the analytical evidence resulting from own analysis and the implications for the project and policies being analysed."
59,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 1 – EO equivalent","EO","Communicates key messages from analytical work in clear and concise lay terms for a variety of audiences."
60,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 1 – EO equivalent","EO","Reports fully own analytical work in sufficient detail meeting customer needs, effectively presenting results in both written and oral form."
61,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 1 – EO equivalent","EO","Explains clearly to senior officials the implications of analytical evidence for the project and policies being analysed, and make recommendations based on results of analysis."
62,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Describes how a piece of analysis they have carried out has been influenced by their understanding of the stakeholders’ needs."
63,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Explains results or insights from their analysis, conveying difficult concepts to a non-analytical colleagues."
64,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Describes how they have explained the limitations or uncertainties in their analysis and what this means for the business or policy area."
65,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Delivers presentations of OR and analytical work, appropriately tailored to a range of internal and external analytical audiences. Has included the ""big picture"" or context in presentations of analytical work"
66,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Can explain one problem structuring method and one hard OR method to non-analysts."
67,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Demonstrates an awareness of the popularised lay terms for analysis (data science, analytics, big data)."
68,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 2 – HEO equivalent","HEO","Writes or contributes significantly to a technical report, and describes how they structured and approached writing the report."
69,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Gathers information about stakeholders' needs and uses this along with an understanding of the context to design a piece of analysis to meet their needs."
70,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Demonstrates a wider understanding of the context of their analysis by describing how they used their contacts, background reading and other research to develop this."
71,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Communicates key messages to senior officials and able to explain a difficult concept to non-analytical colleagues. "
72,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Fully knowledgeable about strengths and limitations of analysis and underlying data, and can describe how they have explored uncertainty in a piece of analysis and how they explained the implications to the client."
73,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Presents results of analysis to senior officials, external stakeholders and/or analytical audiences, with the context clearly explained and the impact of the analysis effectively communicated."
74,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Can explain two or more problem structuring methods and/or hard OR methods to non-analysts and can show how they could be used together to address a business need."
75,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Describes how the OR techniques they use fit with popularised lay terms used for analysis (for example, data science, analytics, etc.)."
76,"Government Operational Research Service","Achieving impact with analysis",NA,"GORS level 3 – SEO equivalent","SEO","Leads on the production of a technical report involving collaboration with others. Demonstrates how they ensured the report was quality assured and fit for purpose."
77,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 6 and 7","Grade 7, Grade 6","Gives authoritative advice on evidence and data, and their sources."
78,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 6 and 7","Grade 7, Grade 6","Convinces senior officials on the implications of analytical evidence in a wide context."
79,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 6 and 7","Grade 7, Grade 6","Ensures junior analysts are aware of popularised lay terms for analytical techniques"
80,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 6 and 7","Grade 7, Grade 6","Delivers confident and engaging presentations of OR and analytical work, to a wide range of internal and external audiences."
81,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 5","Grade 5","Communicates key messages from analytical work in clear and concise lay terms for Ministers and senior officials."
82,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 5","Grade 5","Reviews findings and recommendations of analytical work with senior officials and able to convince Ministers and senior officials on policy and programme implications of analytical evidence."
83,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 5","Grade 5","Delivers confident and engaging presentations of OR and analytical work, to a wide range of audiences (Board level, major conferences etc)."
84,"Government Operational Research Service","Achieving impact with analysis",NA,"Grade 5","Grade 5","Demonstrates proven examples where analysis has impacted on eventual outcome of the work, or a change in direction based on evidence."
